,lon,lat,date,rain
583,21.25,-26.25,02.01.91,1.288934708
584,23.75,-26.25,02.01.91,2.228723288
585,21.25,-28.75,03.01.91,2.297724962
586,23.75,-28.75,03.01.91,4.566836834
587,21.25,-26.25,03.01.91,2.46612668
588,23.75,-26.25,03.01.91,3.963068247
589,21.25,-28.75,04.01.91,0.096274376
590,23.75,-28.75,04.01.91,0.014411399
591,21.25,-26.25,04.01.91,0.008308751
592,23.75,-26.25,04.01.91,0.002648068
593,21.25,-28.75,05.01.91,0.00381969
594,23.75,-28.75,05.01.91,0.027851993
595,21.25,-26.25,05.01.91,0.005219904
596,23.75,-26.25,05.01.91,0.00294475
597,21.25,-28.75,06.01.91,0.49271664
598,23.75,-28.75,06.01.91,1.727007866
599,21.25,-26.25,06.01.91,0.200612903
600,23.75,-26.25,06.01.91,1.078691125
601,21.25,-28.75,07.01.91,0.007967048
602,23.75,-28.75,07.01.91,4.92E-05
603,21.25,-26.25,07.01.91,0.015606115
604,23.75,-26.25,07.01.91,0.010934634
605,21.25,-28.75,08.01.91,0.005524789
606,23.75,-28.75,08.01.91,0.00109359
